Admin Level 0,Admin Level 1,Admin Level 2,
Democratic Republic of the Congo, Tanganyika, Kalemie (ville)
Democratic Republic of the Congo, Tanganyika, Kaoze
Democratic Republic of the Congo, Tanganyika, Kongolo
Democratic Republic of the Congo, Tanganyika, Kongolo (ville)
Democratic Republic of the Congo, Tanganyika, Manono
Democratic Republic of the Congo, Tanganyika, Manono (ville)
Democratic Republic of the Congo, Tanganyika, Moba
Democratic Republic of the Congo, Tanganyika, Nyunzu
Democratic Republic of the Congo, Tshopo, Bafwasende
Democratic Republic of the Congo, Tshopo, Banalia
Democratic Republic of the Congo, Tshopo, Basoko
Democratic Republic of the Congo, Tshopo, Basoko (ville)
Democratic Republic of the Congo, Tshopo, Isangi
Democratic Republic of the Congo, Tshopo, Isangi (ville)
Democratic Republic of the Congo, Tshopo, Kisangani
Democratic Republic of the Congo, Tshopo, Opala
Democratic Republic of the Congo, Tshopo, Ubundu
Democratic Republic of the Congo, Tshopo, Yahuma
Democratic Republic of the Congo, Tshopo, Yangambi
Democratic Republic of the Congo, Tshuapa, Befale
Democratic Republic of the Congo, Tshuapa, Boende
Democratic Republic of the Congo, Tshuapa, Boende (ville)
Democratic Republic of the Congo, Tshuapa, Bokungu
Democratic Republic of the Congo, Tshuapa, Djolu
Democratic Republic of the Congo, Tshuapa, Ikela
Democratic Republic of the Congo, Tshuapa, Monkoto
